City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Mhango,TZ,-3.2833,32.85,63.9,95,84,3.09,light rain
267,Thoen,TH,17.6129,99.2161,81.37,57,85,2.57,overcast clouds
268,Cidreira,BR,-30.1811,-50.2056,67.24,68,100,7.65,overcast clouds
269,Yar-Sale,RU,66.8333,70.8333,13.51,91,100,15.43,overcast clouds
270,Pundaguitan,PH,6.3711,126.1689,80.89,77,70,3.58,broken clouds
271,Eureka,US,40.8021,-124.1637,53.67,70,27,5.99,scattered clouds
272,Wamba,NG,8.9333,8.6,85.12,51,64,1.52,broken clouds
273,Bam,IR,29.106,58.357,78.64,26,97,5.68,overcast clouds
274,Cabo San Lucas,MX,22.8909,-109.9124,88.9,20,75,10.36,broken clouds
275,Mandalgovi,MN,45.7625,106.2708,35.24,47,100,13.58,overcast clouds
276,Gaillac,FR,43.9016,1.8969,67.15,73,34,7.36,scattered clouds
277,Monticello,US,45.3055,-93.7941,41.92,40,0,18.41,clear sky
278,Port Lincoln,AU,-34.7333,135.8667,65.32,85,100,12.01,overcast clouds
279,Klyuchi,RU,52.2667,79.1667,53.24,33,8,12.03,clear sky
280,Namibe,AO,-15.1961,12.1522,75.02,70,26,2.37,scattered clouds
281,Isangel,VU,-19.55,169.2667,80.35,79,9,4.25,clear sky
282,Kindu,CD,-2.95,25.95,70.21,91,100,0.98,overcast clouds
283,Tahoua,NE,14.8888,5.2692,88.12,11,100,13.0,overcast clouds
284,Alofi,NU,-19.0595,-169.9187,78.69,94,29,1.14,scattered clouds
285,Berlevag,NO,70.8578,29.0864,39.2,91,100,31.94,overcast clouds
286,Payson,US,40.0444,-111.7321,64.38,29,100,11.99,overcast clouds
287,Staryy Nadym,RU,65.6118,72.6842,15.04,91,100,17.31,overcast clouds
288,Khandyga,RU,62.6667,135.6,-0.13,99,99,0.63,overcast clouds
289,Mochishche,RU,55.1586,83.1229,54.0,63,96,10.47,overcast clouds
290,Nagornskiy,RU,58.7731,57.5451,27.79,98,94,4.07,overcast clouds
291,Vitim,RU,59.4511,112.5578,27.01,97,100,4.21,snow
292,Palamos,ES,41.8484,3.1291,66.99,34,80,4.14,broken clouds
293,San Patricio,US,28.017,-97.5169,91.49,52,85,11.48,overcast clouds
294,Bambanglipuro,ID,-7.95,110.2833,76.98,90,30,3.13,scattered clouds
295,Lompoc,US,34.6391,-120.4579,64.78,73,100,15.01,overcast clouds
296,Beloha,MG,-25.1667,45.05,73.87,88,6,4.88,clear sky
297,Iquique,CL,-20.2208,-70.1431,68.04,70,1,8.97,clear sky
298,Oktyabrskoye,RU,43.0645,44.7417,41.14,93,11,8.95,few clouds
299,Dingle,PH,10.9995,122.6711,75.6,90,37,4.85,scattered clouds
300,Heinola,FI,61.2056,26.0381,34.0,80,53,2.53,broken clouds
301,Beipiao,CN,41.7919,120.7792,47.73,30,0,3.94,clear sky
302,Gazli,UZ,40.1333,63.45,69.55,48,100,18.03,overcast clouds
303,Kristianstad,SE,56.0313,14.1524,46.54,59,82,10.36,broken clouds
304,Juarez,MX,31.7333,-106.4833,83.21,6,75,13.8,broken clouds
305,Chivilcoy,AR,-34.8957,-60.0167,74.12,35,7,3.29,clear sky
306,Seddon,AU,-37.8068,144.8916,64.81,66,0,14.97,clear sky
307,Atar,MR,20.5169,-13.0499,87.64,9,0,7.18,clear sky
308,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,40,11.5,light rain
309,Letlhakeng,BW,-24.0944,25.0298,60.15,93,54,12.88,light rain
310,Mahebourg,MU,-20.4081,57.7,79.09,78,40,11.5,scattered clouds
311,Otukpo,NG,7.1913,8.1329,83.23,56,94,1.81,overcast clouds
312,Hasaki,JP,35.7333,140.8333,41.4,63,100,8.52,overcast clouds
313,Wenzhou,CN,27.9994,120.6668,57.51,66,100,2.75,overcast clouds
